Trace
EMI:FSCAN
A.18.24,N9010A
507 B25 EP3 FS1 P07 ,01

Preselector,Off
Scan Type,Smooth
Number of scans,1
Y Axis Unit,dBuV
Ref Level Offset,-10 dB
Coupling,DC
Input Z Correction,50 ohm

Start Frequency, Stop Frequency, RBW, Scan Points
150000,30000000,9000,13268

DATA
Trace,1
Detector,Peak
150000,32.6753766180672
152249.94346875706,36.4610364081063
154499.88693751412,40.5578610541024
156749.83040627121,39.8620602728524
158999.77387502827,39.1328122259774
161249.71734378533,32.7006833197274
163499.6608125424,27.8447720648446
165749.60428129946,22.8885266424813
167999.54775005655,23.4500195624032
170249.49121881361,22.8710171820321
172499.43468757067,27.9314267279305
174749.37815632773,35.9717099310555
176999.32162508479,43.394008362452
179249.26509384188,49.14412280337
181499.20856259894,50.1059682013192
183749.152031356,49.5861050726571
185999.09550011306,45.4063374640145
188249.03896887013,38.38675662295
190498.98243762722,28.9941327215828
192748.92590638425,21.8078000189461
194998.86937514134,25.979774201075
197248.8128438984,21.0196377875008
199498.75631265546,27.7061764837899
201748.69978141252,32.0864941717782
203998.64325016958,37.4602963568368
206248.58671892667,40.0640790106453
208498.53018768373,39.2100674750008
210748.47365644079,37.1680829168953
212998.41712519786,31.8660580755868
215248.36059395492,25.9954907538094
217498.304062712,24.7343365790047
219748.24753146907,19.3188931585946
221998.19100022613,23.6428525091805
224248.13446898319,19.8516080023446
226498.07793774025,25.5897061468758
228748.02140649734,28.2959515692391
230997.9648752544,32.0870358587899
233247.90834401146,32.6776044012703
235497.85181276852,31.6716916205086
237747.79528152558,28.4075009466805
239997.73875028268,25.8748166205086
242247.68221903971,20.1096188666024
244497.6256877968,22.845725739161
246747.56915655386,18.6851422430672
248997.51262531092,22.2675244452157
251247.456094068,19.8627926947274
253497.39956282504,23.388465607325
255747.34303158213,24.3352734686532
257997.28650033919,26.5319134833016
260247.22996909625,25.5521847845711
262497.17343785334,25.5960156561532
264747.11690661038,21.8324048163094
266997.06037536747,23.397971832911
269247.0038441245,19.8103024603524
271496.94731288159,23.4232174994149
273746.89078163868,21.0133511664071
275996.83425039571,23.4295575262703
278246.7777191528,21.0967480780282
280496.72118790983,24.6049725653328
282746.66465666692,22.6597363592782
284996.608125424,25.6960522772469
287246.55159418104,23.7296750189461
289496.49506293813,25.5831524969735
291746.43853169517,22.9551770331063
293996.38200045226,25.0900723578133
296246.32546920935,22.6496731878914
298496.26893796638,25.1726987005868
300746.21240672347,22.6915738226571
302996.1558754805,26.2731244208016
305246.09934423759,23.727691376368
307496.04281299468,26.6796261908211
309745.98628175171,23.7784039618172
311995.9297505088,26.412391388575
314245.87321926584,24.3894345404305
316495.81668802293,27.2342602850594
318745.76015678,24.8376080633797
320995.70362553705,27.3096921087899
323245.64709429408,24.4642254950203
325495.59056305117,28.1519162298836
327745.53403180826,25.2948147894539
329995.47750056535,28.5535580755868
332245.42096932238,25.9989087225594
334495.36443807941,28.5194851996102
336745.3079068365,25.3361661078133
338995.25137559359,29.4702603460946
341245.19484435068,25.6113049627938
343495.13831310772,28.6897427679696
345745.08178186475,26.6687314154305
347995.02525062184,29.2658688666024
350244.96871937893,26.6326977850594
352494.912188136,29.1018826605477
354744.85565689305,27.1739346625008
356994.79912565008,29.022727692286
359244.74259440717,26.2892224432625
361494.68606316426,30.1596219183602
363744.62953192135,27.5700757147469
365994.57300067839,29.3447110296883
368244.51646943542,26.8608014227547
370494.45993819251,29.3706967474618
372744.4034069496,27.35550662295
374994.34687570669,29.2503201605477
377244.29034446372,27.5375821234383
379494.23381322075,29.6781460882821
381744.17728197784,26.6615979315438
383994.12075073493,29.1249615790047
386244.064219492,26.7762829901375
388494.00768824905,29.3123471380868
390743.95115700609,26.7707821966805
392993.89462576318,29.3911816717782
395243.83809452027,26.9673993231453
397493.78156327736,28.6242520453133
399743.72503203439,26.2901150824227
401993.66850079142,28.2036740423836
404243.61196954851,26.0357892157235
406493.5554383056,27.9393231512703
408743.49890706269,26.0535275580086
410993.44237581972,27.2590939642586
413243.38584457675,25.1857220770516
415493.32931333384,26.8638684393563
417743.27278209093,24.5796582342782
419993.21625084797,25.9946133734383
422243.15971960506,23.7642056585946
424493.10318836209,24.5534360052743
426743.04665711918,23.0839841009774
428992.99012587627,23.7772442938485
431242.9335946333,22.1798321844735
433492.87706339039,22.5837323309578
435742.82053214742,21.4080044867196
437992.76400090451,21.1216961981453
440242.7074696616,20.0399930121102
442492.65093841864,20.265044891993
444742.59440717573,19.3961255194344
446992.53787593276,18.7530972601571
449242.48134468985,15.9425122381844
451492.42481344694,20.3964841009774
453742.36828220397,17.2117230536141
455992.31175096106,20.9725796820321
458242.25521971809,16.5455395819344
460492.19868847518,21.6780926825203
462742.14215723227,18.4094693304696
464992.0856259893,22.1378628851571
467242.02909474639,20.0678784491219
469491.97256350343,24.3221661688485
471741.91603226052,21.3836285711922
473991.85950101761,25.382476532618
476241.80296977464,23.3323666693368
478491.74643853173,27.2066418768563
480741.68990728876,24.3117215277352
482991.63337604585,28.2635647894539
485241.57684480288,25.8533246161141
487491.52031356,28.6506344916024
489741.46378231706,27.0852048041024
491991.4072510741,30.400169098536
494241.35071983119,27.6186596991219
496491.29418858822,30.9462048651375
498741.23765734531,28.282005036036
500991.1811261024,31.8524853827157
503241.12459485943,29.0849682928719
505491.06806361652,32.1805340887703
507741.01153237355,29.8754117132821
509990.95500113064,32.3719098211922
512240.89846988773,31.0687710882821
514490.84193864476,33.1361844183602
516740.78540740185,31.4317166449227
518990.72887615889,33.3682629706063
