SignalList
EMI:FSCan
A.18.24,N9010A
507 B25 EP3 FS1 P07 ,01
Y Axis Unit,dBuV
Limit LL1,
Limit LL2,
DATA
SIG,MRK,TRC,FREQ,QPD AMPL,EAVG AMPL,QPD AMPL,QPD LL1 DELTA,EAVG LL2 DELTA,QPD LL1 DELTA,COMPOSITE AMPCOR,RBW,RBW TYPE,TIMESTAMP,COMMENT,USE ANTENNA UNIT
1,False,1,181499.20856259894,48.8289944769539,39.5741040350594,48.8289944769539,-15.5877804005383,---,-15.5877804005383,19.8681209385626,9000,CISPR,2021/06/01 03:32:32,,False
2,False,1,206248.58671892667,39.1538693548836,32.8272320868172,39.1538693548836,-24.2011632697821,---,-24.2011632697821,19.8618780939037,9000,CISPR,2021/06/01 03:32:35,,False
3,False,1,1117475.6915655388,29.557639801661,19.0789639593758,29.557639801661,-26.442360198339,---,-26.442360198339,19.903970889908,9000,CISPR,2021/06/01 03:32:37,,False
4,False,1,1126475.4654405669,29.197547638575,18.501243317286,29.197547638575,-26.802452361425,---,-26.802452361425,19.9043517081397,9000,CISPR,2021/06/01 03:32:40,,False
